"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WESD","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-03",,,,,,,"0.00","0.0","0.0",,"66","40",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-04",,,,,,,"0.00","0.0","0.0",,"72","36",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-05",,,,,,,"0.00","0.0","0.0",,"64","44",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-06",,,,,,,"0.00","0.0","0.0",,"72","38",,,,,,,,,,,"    1",,,,,,,"    1",,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-07",,,,,,,"0.00","0.0","0.0",,"69","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-08",,,,,,,"0.07","0.0","0.0",,"67","38",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-09",,,,,,,"0.01","0.0","0.0",,"57","34",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-10",,,,,,,"0.14","0.0","0.0",,"66","28",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-11",,,,,,,"0.27","0.0","0.0",,"55","35",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-12",,,,,,,"0.20","0.0","0.0",,"54","36",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-13",,,,,,,"0.39","0.0","0.0",,"56","42",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-14",,,,,,,"0.58","0.0","0.0",,"52","36",,,,,,,,,,,"    1",,,,"    1",,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-15",,,,,,,"0.34","0.0","0.0",,"50","36",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-16",,,,,,,"0.00","0.0","0.0",,"56","32",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-17",,,,,,,"0.14","0.0","0.0",,"54","38",,,,,,,,,,,,,,,"    1",,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-18",,,,,,,"0.32","0.0","0.0",,"50","38",,,,,,,,,,,"    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-19",,,,,,,"0.44","0.0","0.0",,"54","39",,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,,,
"USW00024227","OLYMPIA AIRPORT, WA US","1960-04-20",,,,,,,"0.71","0.0","0.0",,"55","38",,,,,,,,,,,"    1",,,,"    1",,,,,,,,,"    1",,"    1",,,,,
